firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,
PARAMJIT,55,1.818,20,0,72.727,1.818,3.636,
PARESH,47,0,19.149,0,80.851,0,0,
PARIS,40,0,80,17.5,0,2.5,0,
PARKER,64,0,92.188,4.688,1.563,1.563,0,
PARMINDER,42,0,16.667,0,76.19,2.381,4.762,
PARUL,42,0,11.905,0,85.714,2.381,0,
PARVIN,30,0,66.667,0,33.333,0,0,
PARVIZ,34,0,82.353,0,17.647,0,0,
PASCAL,49,2.041,77.551,12.245,6.122,2.041,0,
PASCUAL,58,86.207,5.172,1.724,6.897,0,0,
PASQUALE,158,1.899,97.468,0,0.633,0,0,
PAT,221,3.167,88.235,2.715,5.43,0,0.452,
PATIENCE,36,0,55.556,44.444,0,0,0,
PATRICA,32,6.25,84.375,6.25,3.125,0,0,
PATRICE,450,1.333,85.333,13.111,0.222,0,0,
PATRICIA,16894,4.937,90.067,3.919,0.787,0.136,0.154,
PATRICIO,55,74.545,12.727,0,12.727,0,0,
PATRICK,8553,1.204,93.944,2.432,2.257,0.082,0.082,
PATSY,505,1.782,90.693,5.347,1.584,0.594,0,
PATTI,558,0.717,96.595,0.538,1.971,0.179,0,
PATTIE,34,0,85.294,11.765,2.941,0,0,
PATTY,284,1.056,88.732,1.761,8.099,0.352,0,
PAUL,17354,2.138,93.143,1.452,3.066,0.109,0.092,
PAULA,3501,3.313,92.402,3.113,0.8,0.2,0.171,
PAULETTE,472,1.483,79.025,16.102,2.119,0.847,0.424,
PAULINA,59,32.203,44.068,5.085,18.644,0,0,
PAULINE,687,3.785,76.71,11.645,7.715,0,0.146,
PAULINO,30,63.333,20,0,16.667,0,0,
PAULO,107,34.579,58.879,0.935,5.607,0,0,
PAVEL,132,2.273,96.97,0,0.758,0,0,
PAWEL,87,3.448,96.552,0,0,0,0,
PEARL,197,7.107,66.497,16.244,10.152,0,0,
PEDER,17,0,100,0,0,0,0,
PEDRO,1191,88.833,7.557,1.259,2.099,0.168,0.084,
PEGGIE,32,0,62.5,31.25,6.25,0,0,
PEGGY,2234,1.343,93.778,2.731,1.611,0.269,0.269,
PEI,45,0,0,0,100,0,0,
PENELOPE,259,0.772,94.595,1.544,2.317,0.386,0.386,
PENG,57,1.754,0,0,98.246,0,0,
PENNI,43,2.326,97.674,0,0,0,0,
PENNIE,49,4.082,87.755,6.122,0,2.041,0,
PENNY,996,0.602,95.08,2.309,1.506,0.201,0.301,
PER,38,0,100,0,0,0,0,
PERCY,66,21.212,22.727,40.909,15.152,0,0,
PERLA,74,59.459,18.919,0,21.622,0,0,
PERRY,595,1.345,88.571,7.059,2.857,0,0.168,
PETAR,24,0,100,0,0,0,0,
PETE,239,24.268,71.13,0.418,4.184,0,0,
PETER,10054,1.94,91.675,1.144,5.043,0.099,0.099,
PETR,58,0,96.552,1.724,0,1.724,0,
PETRA,168,32.738,61.905,4.167,1.19,0,0,
PEYTON,31,0,93.548,3.226,3.226,0,0,
PHAN,27,0,0,0,100,0,0,
PHAT,46,0,0,0,100,0,0,
PHI,31,6.452,3.226,0,90.323,0,0,
PHIL,191,5.236,82.199,2.094,10.471,0,0,
PHILIP,4418,1.584,92.938,1.245,4.052,0.068,0.113,
PHILIPPE,107,0.935,89.72,2.804,6.542,0,0,
PHILLIP,3023,2.977,89.613,3.97,3.01,0.198,0.232,
PHOEBE,89,1.124,79.775,4.494,14.607,0,0,
PHONG,112,0,1.786,0,98.214,0,0,
PHU,55,0,0,0,100,0,0,
PHUC,69,0,2.899,0,95.652,0,1.449,
PHUNG,44,2.273,2.273,0,95.455,0,0,
PHUOC,39,0,5.128,0,94.872,0,0,
PHUONG,223,0,2.242,0,96.861,0,0.897,
PHYLLIS,1697,1.414,88.038,8.25,1.591,0.236,0.471,
PIA,42,7.143,66.667,9.524,16.667,0,0,
PIERRE,247,4.049,59.919,28.745,6.073,0.405,0.81,
PIETER,46,0,100,0,0,0,0,
PIETRO,51,3.922,96.078,0,0,0,0,
PILAR,76,61.842,27.632,1.316,9.211,0,0,
PING,148,0,3.378,0,95.946,0,0.676,
PIOTR,130,0,99.231,0.769,0,0,0,
PIPER,37,0,91.892,5.405,0,2.703,0,
PIYUSH,31,0,19.355,0,80.645,0,0,
PO,30,0,3.333,0,96.667,0,0,
POLLY,222,0.901,92.793,1.351,4.955,0,0,
POONAM,35,0,20,0,80,0,0,
PORFIRIO,49,89.796,6.122,0,4.082,0,0,
PORTIA,63,1.587,50.794,30.159,14.286,1.587,1.587,
PRADEEP,73,0,12.329,0,86.301,0,1.37,
PRAKASH,90,0,22.222,0,77.778,0,0,
PRASAD,70,0,10,0,88.571,1.429,0,
PRASHANT,81,0,17.284,0,79.012,2.469,1.235,
PRAVEEN,78,1.282,23.077,1.282,71.795,0,2.564,
PRAVIN,44,0,25,0,70.455,2.273,2.273,
PREETI,33,0,9.091,0,87.879,3.03,0,
PREM,44,0,31.818,0,63.636,2.273,2.273,
PRESTON,268,0.373,85.075,10.448,2.985,0.746,0.373,
PRINCE,32,3.125,12.5,59.375,21.875,0,3.125,
PRISCILLA,620,11.613,70.323,11.452,6.29,0.161,0.161,
PRITI,48,0,22.917,0,72.917,4.167,0,
PRIYA,59,0,16.949,0,79.661,3.39,0,
PRUDENCE,37,2.703,86.486,10.811,0,0,0,
PUI,27,0,0,0,100,0,0,
QI,81,1.235,2.469,0,96.296,0,0,
QIAN,53,1.887,0,0,98.113,0,0,
QIANG,86,0,0,0,100,0,0,
QIN,42,2.381,0,0,95.238,0,2.381,
QING,109,0.917,3.67,0,95.413,0,0,
QIU,15,0,0,0,100,0,0,
QUAN,104,0,2.885,0,97.115,0,0,
QUANG,117,1.709,1.709,0,95.726,0,0.855,
QUENTIN,104,0,71.154,23.077,5.769,0,0,
QUINCY,40,0,37.5,47.5,15,0,0,
QUINN,91,2.198,83.516,4.396,9.89,0,0,
QUINTIN,40,7.5,55,32.5,5,0,0,
QUINTON,45,2.222,51.111,44.444,2.222,0,0,
QUOC,68,0,2.941,0,97.059,0,0,
QUY,38,0,5.263,0,94.737,0,0,
QUYEN,69,1.449,5.797,0,92.754,0,0,
QUYNH,54,0,7.407,0,90.741,0,1.852,
RACHAEL,462,5.195,91.126,2.165,1.082,0.216,0.216,
RACHEAL,32,12.5,84.375,3.125,0,0,0,
RACHEL,3100,4.387,90.806,2.29,2.355,0.032,0.129,
RACHELE,40,2.5,97.5,0,0,0,0,
RACHELLE,330,3.636,91.515,2.424,2.424,0,0,
RAE,164,1.22,90.854,4.268,3.659,0,0,
RAELENE,21,0,100,0,0,0,0,
RAFAEL,1116,88.441,8.871,0.269,2.419,0,0,
RAFAELA,57,82.456,10.526,1.754,5.263,0,0,
RAFAL,38,7.895,89.474,2.632,0,0,0,
RAFFAELE,24,0,100,0,0,0,0,
RAFFI,33,0,96.97,0,3.03,0,0,
RAFI,30,0,86.667,0,13.333,0,0,
RAHUL,118,0,24.576,0.847,72.034,1.695,0.847,
RAINER,31,3.226,96.774,0,0,0,0,
RAISA,34,0,97.059,2.941,0,0,0,
RAJ,95,0,22.105,0,77.895,0,0,
RAJA,51,0,23.529,5.882,70.588,0,0,
RAJAN,47,0,36.17,0,61.702,2.128,0,
RAJEEV,70,0,7.143,0,91.429,0,1.429,
RAJENDRA,91,0,19.78,3.297,73.626,3.297,0,
RAJESH,306,0.654,17.974,0,79.085,1.961,0.327,
RAJINDER,66,1.515,25.758,0,68.182,4.545,0,
RAJIV,101,0,21.782,0,78.218,0,0,
RAJU,43,0,13.953,0,79.07,4.651,2.326,
RAKESH,143,0.699,18.182,0.699,78.322,1.399,0.699,
RALEIGH,40,2.5,95,2.5,0,0,0,
RALF,46,2.174,97.826,0,0,0,0,
RALPH,2477,5.369,88.656,4.32,1.13,0.202,0.323,
RAM,83,0,36.145,0,60.241,2.41,1.205,
RAMA,48,0,20.833,0,79.167,0,0,
RAMAN,34,0,17.647,0,82.353,0,0,
RAMESH,189,1.058,21.164,0,75.661,2.116,0,
RAMI,42,0,85.714,0,14.286,0,0,
RAMIN,59,0,84.746,0,15.254,0,0,
RAMIRO,354,93.22,4.802,0.282,1.695,0,0,
RAMON,999,79.179,11.311,1.301,8.008,0,0.2,
RAMONA,517,24.758,64.41,6.576,3.868,0.193,0.193,
RANA,92,2.174,73.913,2.174,21.739,0,0,
RANAE,30,0,100,0,0,0,0,
RAND,73,1.37,94.521,1.37,2.74,0,0,
RANDA,54,0,90.741,3.704,5.556,0,0,
RANDAL,451,1.109,95.344,1.109,1.996,0.443,0,
RANDALL,2812,0.711,96.728,0.996,1.387,0.071,0.107,
RANDEE,48,2.083,97.917,0,0,0,0,
RANDEL,48,0,97.917,2.083,0,0,0,
RANDELL,79,3.797,89.873,6.329,0,0,0,
RANDI,298,1.342,95.973,2.349,0.336,0,0,
RANDOLPH,502,2.789,82.072,11.355,3.386,0.199,0.199,
RANDON,15,0,100,0,0,0,0,
RANDY,3010,1.827,92.757,2.027,3.09,0.166,0.133,
RANIA,31,0,90.323,0,9.677,0,0,
RANJIT,61,0,29.508,0,68.852,1.639,0,
RAOUL,33,15.152,51.515,12.121,21.212,0,0,
RAPHAEL,96,17.708,58.333,16.667,7.292,0,0,
RAQUEL,390,56.667,32.308,4.615,5.897,0,0.513,
RASHID,32,0,28.125,15.625,56.25,0,0,
RASHMI,64,0,17.188,0,82.813,0,0,
RAUL,1015,89.261,7.094,0.493,3.054,0.099,0,
RAVI,195,0,20,0,76.41,2.564,1.026,
RAVINDER,68,2.941,22.059,0,75,0,0,
RAVINDRA,44,0,11.364,2.273,86.364,0,0,
RAY,999,6.807,79.58,6.907,6.206,0.3,0.2,
RAYMOND,5195,5.486,84.755,4.35,5.12,0.135,0.154,
RAYMUNDO,107,90.654,4.673,0,4.673,0,0,
RAYNA,36,2.778,69.444,19.444,2.778,5.556,0,
REAGAN,31,0,96.774,0,3.226,0,0,
REBA,88,0,88.636,7.955,2.273,1.136,0,
REBECA,84,65.476,34.524,0,0,0,0,
REBECCA,7229,3.486,94.052,0.83,1.369,0.124,0.138,
REBECKA,17,0,100,0,0,0,0,
REBEKAH,387,1.55,96.382,1.034,1.034,0,0,
REED,189,0,97.884,0.529,1.587,0,0,
REENA,52,0,40.385,0,55.769,1.923,1.923,
REESE,36,0,100,0,0,0,0,
REFUGIO,77,98.701,0,0,0,1.299,0,
REGAN,96,1.042,92.708,2.083,4.167,0,0,
REGENA,23,0,100,0,0,0,0,
REGGIE,54,5.556,68.519,20.37,5.556,0,0,
REGINA,1434,6.067,78.312,12.762,2.441,0.209,0.209,
REGINALD,487,1.848,31.417,63.655,2.669,0,0.411,
REID,140,0,91.429,0.714,7.143,0.714,0,
REINA,115,73.913,22.609,0.87,2.609,0,0,
REINALDO,57,82.456,14.035,0,3.509,0,0,
REKHA,50,0,30,2,66,2,0,
REMEDIOS,53,16.981,9.434,0,73.585,0,0,
RENA,176,1.705,86.932,9.091,2.273,0,0,
RENAE,169,1.775,94.083,3.55,0,0.592,0,
RENATA,143,11.888,85.315,2.797,0,0,0,
RENATE,92,1.087,97.826,0,1.087,0,0,
RENATO,124,23.387,30.645,1.613,43.548,0,0.806,
RENE,800,44.875,48.125,2.625,4,0.125,0.25,
RENEA,36,0,69.444,30.556,0,0,0,
RENEE,2317,1.942,91.282,4.791,1.64,0.086,0.259,
RENITA,52,0,51.923,46.154,1.923,0,0,
RENU,35,0,22.857,0,77.143,0,0,
RENUKA,32,0,21.875,0,75,3.125,0,
RETHA,33,0,84.848,15.152,0,0,0,
REUBEN,109,18.349,58.716,20.183,2.752,0,0,
REVA,62,0,75.806,22.581,0,1.613,0,
REX,441,0.907,90.023,0.454,8.617,0,0,
REY,46,50,10.87,0,39.13,0,0,
REYES,54,96.296,1.852,0,1.852,0,0,
REYNA,91,87.912,9.89,2.198,0,0,0,
REYNALDO,267,65.169,5.618,0.749,28.464,0,0,
REYNOLD,43,0,67.442,18.605,13.953,0,0,
REZA,120,0,80.833,0,19.167,0,0,
RHEA,84,2.381,82.143,7.143,7.143,1.19,0,
RHETT,79,0,100,0,0,0,0,
RHIANNON,57,1.754,98.246,0,0,0,0,
RHODA,102,6.863,70.588,15.686,6.863,0,0,
RHONDA,2096,0.859,90.458,7.824,0.334,0.382,0.143,
RIAN,33,0,93.939,6.061,0,0,0,
RICARDO,1232,78.571,12.256,3.896,5.276,0,0,
RICH,65,0,98.462,0,1.538,0,0,
RICHARD,29033,2.869,93.697,1.409,1.801,0.079,0.145,
RICHELLE,84,0,90.476,4.762,4.762,0,0,
RICHIE,35,5.714,68.571,17.143,8.571,0,0,
RICHMOND,34,0,70.588,8.824,20.588,0,0,
RICK,1371,2.772,93.144,0.729,2.845,0.292,0.219,
RICKEY,281,0.356,84.698,13.879,0.712,0,0.356,
RICKI,37,2.703,86.486,8.108,2.703,0,0,
RICKIE,123,0.813,87.805,10.569,0.813,0,0,
RICKY,1180,2.542,84.915,7.034,5.169,0.169,0.169,
RICO,38,21.053,28.947,18.421,28.947,0,2.632,
RIGOBERTO,244,96.721,2.459,0,0.41,0.41,0,
RIKKI,36,0,97.222,2.778,0,0,0,
RILEY,69,0,85.507,13.043,1.449,0,0,
RIMA,36,0,91.667,0,8.333,0,0,
RINA,74,18.919,50,1.351,28.378,0,1.351,
RISA,50,2,96,0,2,0,0,
RITA,1937,8.312,81.053,4.75,5.679,0.052,0.155,
RITCHIE,31,3.226,80.645,6.452,9.677,0,0,
RITESH,33,0,18.182,0,78.788,0,3.03,
RITU,41,0,17.073,0,80.488,2.439,0,
ROB,143,0.699,97.902,0.699,0,0.699,0,
ROBB,69,1.449,95.652,0,2.899,0,0,
ROBBIE,247,0.81,87.854,10.931,0.405,0,0,
ROBBIN,114,0,89.474,10.526,0,0,0,
ROBBY,69,1.449,94.203,0,4.348,0,0,
ROBERT,48260,2.138,94.511,2.161,0.924,0.128,0.137,
ROBERTA,1461,3.08,92.471,3.217,0.958,0.205,0.068,
ROBERTO,1248,80.529,12.821,0.321,6.33,0,0,
ROBIN,4258,0.775,94.246,3.687,1.104,0.141,0.047,
ROBYN,906,0.773,95.585,2.208,1.104,0,0.331,
ROCCO,197,1.523,97.97,0,0.508,0,0,
ROCHELLE,479,1.461,83.716,12.944,1.879,0,0,
ROCIO,156,94.231,5.128,0,0.641,0,0,
ROCK,43,4.651,90.698,2.326,2.326,0,0,
ROCKY,149,6.04,83.893,1.342,8.725,0,0,
ROD,150,5.333,90,2.667,1.333,0.667,0,
RODD,20,0,100,0,0,0,0,
RODERIC,30,0,73.333,10,16.667,0,0,
RODERICK,305,0.984,64.59,28.852,4.918,0.656,0,
RODGER,219,0,94.977,2.74,1.826,0,0.457,
RODNEY,2151,1.627,86.192,9.437,2.278,0.232,0.232,
RODOLFO,509,77.407,7.466,0,14.735,0,0.393,
RODRICK,41,0,51.22,43.902,4.878,0,0,
RODRIGO,264,78.03,10.227,0,11.742,0,0,
ROGELIO,363,80.716,3.306,0,15.978,0,0,
ROGER,4373,2.515,92.842,2.104,2.355,0.023,0.16,
ROHAN,34,8.824,23.529,35.294,29.412,0,2.941,
ROHIT,81,0,14.815,0,82.716,2.469,0,
ROLAND,634,6.94,74.763,11.041,7.256,0,0,
ROLANDO,331,66.465,9.063,0,24.471,0,0,
ROLF,84,0,97.619,1.19,0,1.19,0,
ROLLAND,47,2.128,95.745,0,2.128,0,0,
ROLLIN,39,0,92.308,2.564,5.128,0,0,
ROMA,40,0,75,5,20,0,0,
ROMAN,344,24.128,72.965,1.163,1.163,0.291,0.291,
ROMEO,176,22.159,18.75,2.273,56.818,0,0,
ROMMEL,43,20.93,11.628,2.326,65.116,0,0,
ROMULO,45,31.111,11.111,0,57.778,0,0,
ROMY,30,6.667,63.333,0,30,0,0,
RON,597,2.345,88.442,4.02,4.69,0.335,0.168,
RONA,59,3.39,77.966,5.085,13.559,0,0,
RONALD,11915,1.611,92.396,4.029,1.586,0.201,0.176,
RONALDO,65,29.231,20,6.154,44.615,0,0,
RONDA,392,1.02,95.918,2.806,0,0,0.255,
RONEN,15,0,100,0,0,0,0,
RONG,88,0,0,0,98.864,0,1.136,
RONI,69,7.246,84.058,2.899,4.348,1.449,0,
RONIT,21,0,100,0,0,0,0,
RONNA,65,0,98.462,1.538,0,0,0,
RONNIE,870,4.828,78.506,13.678,2.529,0.115,0.345,
RONNY,74,12.162,71.622,8.108,5.405,0,2.703,
RONY,34,47.059,41.176,5.882,5.882,0,0,
ROOSEVELT,65,0,7.692,92.308,0,0,0,
ROQUE,31,58.065,35.484,0,6.452,0,0,
RORY,248,2.016,93.145,3.226,1.613,0,0,
ROSA,1443,72.904,20.236,4.435,2.287,0.139,0,
ROSALBA,92,90.217,8.696,0,1.087,0,0,
ROSALEE,41,9.756,70.732,19.512,0,0,0,
ROSALIA,71,57.746,33.803,1.408,7.042,0,0,
ROSALIE,364,10.44,83.516,1.648,3.846,0.549,0,
ROSALINA,78,58.974,16.667,0,23.077,0,1.282,
ROSALIND,185,3.243,58.919,34.054,3.784,0,0,
ROSALINDA,167,61.078,19.162,0.599,18.563,0.599,0,
ROSALIO,37,81.081,8.108,0,10.811,0,0,
ROSALVA,41,97.561,2.439,0,0,0,0,
ROSALYN,124,5.645,56.452,32.258,4.839,0,0.806,
ROSANA,31,48.387,29.032,0,22.581,0,0,
ROSANN,30,3.333,90,0,6.667,0,0,
ROSANNA,121,10.744,71.074,3.306,13.223,0.826,0.826,
ROSANNE,206,4.369,94.175,0.971,0.485,0,0,
ROSARIO,308,60.39,22.078,0,17.532,0,0,
ROSAURA,38,97.368,2.632,0,0,0,0,
ROSCOE,51,0,64.706,35.294,0,0,0,
ROSE,1516,8.641,76.847,9.301,4.683,0.264,0.264,
ROSEANN,195,1.026,96.41,2.051,0.513,0,0,
ROSEANNA,33,12.121,87.879,0,0,0,0,
ROSEANNE,112,6.25,90.179,1.786,1.786,0,0,
ROSELLA,34,14.706,76.471,5.882,2.941,0,0,
ROSELYN,40,5,75,7.5,12.5,0,0,
ROSEMARIE,552,7.971,81.884,3.261,6.341,0.543,0,
ROSEMARY,1309,6.875,86.478,4.202,2.215,0.229,0,
ROSENDO,82,90.244,1.22,0,8.537,0,0,
ROSETTA,74,5.405,45.946,43.243,2.703,1.351,1.351,
ROSHAN,37,0,43.243,2.703,54.054,0,0,
ROSIE,161,29.814,37.888,22.981,8.075,0.621,0.621,
ROSIO,16,100,0,0,0,0,0,
ROSITA,55,32.727,25.455,1.818,38.182,1.818,0,
ROSLYN,114,1.754,68.421,27.193,2.632,0,0,
ROSS,857,1.4,95.449,0.467,2.334,0.35,0,
ROSWITHA,17,0,100,0,0,0,0,
ROWENA,94,6.383,46.809,6.383,39.362,1.064,0,
ROXANA,113,51.327,38.938,0.885,7.965,0.885,0,
ROXANE,63,6.349,87.302,1.587,4.762,0,0,
ROXANN,71,2.817,95.775,1.408,0,0,0,
ROXANNA,79,16.456,78.481,2.532,1.266,1.266,0,
ROXANNE,561,4.456,85.74,6.239,3.209,0.357,0,
ROXIE,45,2.222,80,17.778,0,0,0,
ROY,2099,3.478,85.136,5.622,5.431,0.238,0.095,
ROYAL,50,0,84,10,4,0,2,
ROYCE,124,0.806,90.323,6.452,2.419,0,0,
RUBEN,966,80.849,13.768,1.242,4.037,0,0.104,
RUBINA,31,12.903,29.032,3.226,51.613,0,3.226,
RUBY,507,9.862,53.057,24.063,12.623,0.394,0,
RUDOLF,61,3.279,93.443,0,3.279,0,0,
RUDOLPH,252,17.063,55.556,23.413,3.571,0.397,0,
RUDY,310,43.226,42.581,3.226,10,0.645,0.323,
RUFUS,82,1.22,52.439,41.463,3.659,1.22,0,
RUI,105,3.81,38.095,0,58.095,0,0,
RUPERT,40,7.5,47.5,27.5,17.5,0,0,
RUSLAN,38,0,100,0,0,0,0,
RUSS,95,1.053,94.737,0,4.211,0,0,
RUSSEL,102,0,97.059,0.98,1.961,0,0,
RUSSELL,3312,0.725,94.746,2.627,1.661,0.06,0.181,
RUSTIN,22,0,100,0,0,0,0,
RUSTY,97,3.093,96.907,0,0,0,0,
RUTH,2718,6.107,86.019,5.408,2.134,0.184,0.147,
RUTHANN,86,1.163,98.837,0,0,0,0,
RUTHANNE,31,0,96.774,3.226,0,0,0,
RUTHIE,42,4.762,59.524,35.714,0,0,0,
RYAN,6510,0.983,95.745,0.86,2.304,0.077,0.031,
RYANN,18,0,100,0,0,0,0,
RYSZARD,55,0,100,0,0,0,0,
SABINA,82,15.854,64.634,2.439,15.854,1.22,0,
SABINE,72,0,97.222,2.778,0,0,0,
SABINO,39,74.359,17.949,0,7.692,0,0,
SABRA,26,0,100,0,0,0,0,
SABRINA,523,5.736,75.335,14.34,4.015,0.382,0.191,
SACHIN,64,0,14.063,0,84.375,1.563,0,
SADIE,94,6.383,72.34,17.021,0,3.191,1.064,
SAEED,59,0,71.186,1.695,27.119,0,0,
SAI,49,2.041,8.163,0,89.796,0,0,
SAID,56,1.786,78.571,3.571,14.286,1.786,0,
SAL,46,21.739,69.565,0,6.522,2.174,0,
SALIM,53,0,47.17,0,47.17,1.887,3.774,
SALINA,32,9.375,40.625,15.625,34.375,0,0,
SALLIE,148,1.351,87.838,8.108,1.351,0,1.351,
SALLY,1980,2.323,93.889,0.707,2.778,0.253,0.051,
SALOMON,51,80.392,13.725,1.961,3.922,0,0,
SALVADOR,793,91.803,5.044,0.126,2.9,0.126,0,
SALVATORE,665,0.752,98.947,0,0.15,0,0.15,
SAM,727,3.026,73.04,4.539,19.257,0.138,0,
SAMANTHA,1009,3.568,88.702,3.568,3.568,0.198,0.396,
SAMEER,60,0,31.667,0,65,0,3.333,
SAMER,72,1.389,81.944,2.778,13.889,0,0,
SAMI,63,3.175,82.54,4.762,9.524,0,0,
SAMIR,180,3.333,56.111,0.556,38.889,0.556,0.556,
SAMIRA,49,8.163,71.429,8.163,10.204,2.041,0,
SAMMIE,54,1.852,40.741,53.704,3.704,0,0,
SAMMY,147,6.803,68.027,9.524,14.286,0,1.361,
SAMSON,64,4.688,20.313,25,50,0,0,
SAMUEL,3302,11.599,73.198,9.388,5.421,0.182,0.212,
SAN,56,37.5,5.357,0,55.357,1.786,0,
SANDEEP,138,0.725,19.565,0,78.261,0,1.449,
SANDER,15,0,100,0,0,0,0,
SANDHYA,42,0,14.286,0,83.333,2.381,0,
SANDI,152,1.974,93.421,0.658,3.289,0.658,0,
SANDOR,33,3.03,93.939,3.03,0,0,0,
SANDRA,9815,7.58,86.714,4.34,1.06,0.204,0.102,
SANDY,549,7.286,70.492,2.186,19.49,0,0.546,
SANFORD,103,0,90.291,4.854,4.854,0,0,
SANG,204,0,2.941,0,97.059,0,0,
SANGEETA,48,0,18.75,0,81.25,0,0,
SANGITA,34,0,23.529,0,73.529,2.941,0,
SANJAY,260,0.385,13.846,0,83.846,1.923,0,
SANJEEV,105,0.952,15.238,0,82.857,0,0.952,
SANJIV,47,0,17.021,0,82.979,0,0,
SANTA,42,40.476,47.619,4.762,7.143,0,0,
SANTIAGO,256,89.844,7.813,0,2.344,0,0,
SANTO,54,11.111,88.889,0,0,0,0,
SANTOS,201,96.02,2.985,0,0.995,0,0,
SANTOSH,59,1.695,16.949,0,81.356,0,0,
SARA,3165,6.698,90.869,1.074,1.169,0.126,0.063,
SARAH,6450,1.891,93.969,1.752,2.078,0.14,0.171,
SARI,38,0,92.105,2.632,5.263,0,0,
SARINA,33,0,78.788,0,21.212,0,0,
SARITA,64,7.813,31.25,25,34.375,0,1.563,
SARKIS,63,0,95.238,0,4.762,0,0,
SASHA,92,6.522,85.87,5.435,2.174,0,0,
SATISH,117,0,17.094,0,80.342,1.709,0.855,
SATYA,45,0,40,2.222,53.333,4.444,0,
SAU,18,0,0,0,100,0,0,
SAUL,290,70,28.621,1.379,0,0,0,
SAUNDRA,168,2.381,80.357,16.667,0,0.595,0,
SAVANNAH,45,2.222,82.222,13.333,2.222,0,0,
SAVERIO,25,0,100,0,0,0,0,
SAVITA,35,2.857,14.286,0,77.143,5.714,0,
SAWSAN,16,0,100,0,0,0,0,
SAYED,37,0,43.243,0,56.757,0,0,
SCARLETT,35,5.714,94.286,0,0,0,0,
SCHUYLER,23,0,100,0,0,0,0,
SCOT,320,0.313,97.5,0.625,1.563,0,0,
SCOTT,14744,0.427,98.311,0.271,0.868,0.061,0.061,
SCOTTIE,46,2.174,82.609,15.217,0,0,0,
SCOTTY,78,2.564,88.462,3.846,5.128,0,0,
SEAMUS,31,0,100,0,0,0,0,
SEAN,3934,0.864,94.509,2.364,1.957,0.127,0.178,
SEBASTIAN,187,25.668,62.567,3.743,8.021,0,0,
SEE,21,0,0,0,100,0,0,
SEEMA,78,0,26.923,0,69.231,2.564,1.282,
SEGUNDO,43,86.047,4.651,0,9.302,0,0,
SELENA,85,10.588,61.176,20,8.235,0,0,
SELINA,68,14.706,51.471,14.706,17.647,0,1.471,
SELMA,50,4,80,12,4,0,0,
SEN,17,0,0,0,100,0,0,
SENG,30,0,10,0,90,0,0,
SEOK,16,0,0,0,100,0,0,
SEONG,39,0,5.128,0,94.872,0,0,
SERAFIN,49,69.388,12.245,2.041,16.327,0,0,
SERENA,140,2.857,75.714,7.143,14.286,0,0,
SERGE,72,1.389,79.167,19.444,0,0,0,
SERGEI,43,0,97.674,0,2.326,0,0,
SERGEY,208,0,98.558,0,1.442,0,0,
SERGIO,958,83.194,14.718,0.522,1.566,0,0,
SERGIY,16,0,100,0,0,0,0,
SETH,914,0.328,98.031,0.875,0.656,0.109,0,
SEUNG,83,0,4.819,0,95.181,0,0,
SEYED,35,2.857,68.571,0,28.571,0,0,
SEYMOUR,51,0,86.275,9.804,3.922,0,0,
SHAD,59,0,98.305,0,0,0,1.695,
SHADI,22,0,100,0,0,0,0,
SHAE,25,0,100,0,0,0,0,
SHAHID,46,0,30.435,2.174,65.217,2.174,0,
SHAHIN,31,6.452,80.645,0,12.903,0,0,
SHAHRAM,30,0,96.667,0,3.333,0,0,
SHAILESH,51,0,21.569,0,78.431,0,0,
SHAINA,25,0,100,0,0,0,0,
SHALINI,31,0,19.355,0,80.645,0,0,
SHAN,70,0,37.143,0,62.857,0,0,
SHANA,239,0.837,90.795,6.276,1.674,0.418,0,
SHANDA,72,1.389,80.556,16.667,1.389,0,0,
SHANE,1326,0.754,97.059,0.754,1.207,0.075,0.151,
SHANKAR,33,3.03,30.303,0,66.667,0,0,
SHANNA,211,1.422,93.839,1.896,1.896,0.948,0,
SHANNAN,68,5.882,92.647,0,0,0,1.471,
SHANNON,3268,1.102,95.41,2.754,0.551,0.092,0.092,
SHANON,62,1.613,90.323,6.452,1.613,0,0,
SHANTI,30,3.333,40,6.667,50,0,0,
SHAO,34,0,0,0,100,0,0,
SHARA,54,3.704,90.741,1.852,1.852,0,1.852,
SHARAD,33,3.03,30.303,0,63.636,0,3.03,
SHAREE,31,0,87.097,12.903,0,0,0,
SHAREN,35,2.857,91.429,2.857,2.857,0,0,
SHARI,674,1.039,95.252,2.077,1.335,0,0.297,
SHARILYN,32,0,100,0,0,0,0,
SHARLA,70,0,95.714,2.857,0,1.429,0,
SHARLENE,113,2.655,86.726,5.31,5.31,0,0,
SHARON,8151,0.736,91.302,5.766,1.877,0.172,0.147,
SHARRON,136,0,90.441,9.559,0,0,0,
SHARYL,44,0,93.182,2.273,4.545,0,0,
SHARYN,113,0.885,96.46,0.885,0.885,0.885,0,
SHASHI,32,3.125,18.75,0,78.125,0,0,
SHAUN,709,0.705,92.384,3.808,2.539,0.141,0.423,
SHAUNA,288,0.347,92.361,6.25,1.042,0,0,
SHAWN,3243,0.987,94.018,3.022,1.603,0.185,0.185,
SHAWNA,402,1.741,95.025,1.99,0.746,0.498,0,
SHAWNEE,18,0,100,0,0,0,0,
