firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,
MAURICE,550,3.455,63.636,31.091,1.818,0,0,
MAURICIO,238,89.496,7.983,0.84,1.681,0,0,
MAURO,95,67.368,30.526,0,1.053,1.053,0,
MAURY,32,3.125,84.375,12.5,0,0,0,
MAVIS,52,0,76.923,17.308,3.846,1.923,0,
MAX,486,8.642,86.214,1.44,3.292,0.412,0,
MAXIM,36,0,100,0,0,0,0,
MAXIMILIANO,37,89.189,10.811,0,0,0,0,
MAXIMINO,31,87.097,6.452,0,6.452,0,0,
MAXIMO,48,70.833,12.5,0,16.667,0,0,
MAXINE,333,2.703,70.571,24.324,1.802,0.601,0,
MAXWELL,89,0,87.64,4.494,7.865,0,0,
MAY,215,1.395,27.442,2.791,68.372,0,0,
MAYA,124,1.613,70.161,9.677,16.935,0.806,0.806,
MAYANK,30,0,20,0,80,0,0,
MAYNARD,51,1.961,94.118,1.961,1.961,0,0,
MAYRA,235,87.66,11.489,0.426,0,0.426,0,
MAZEN,30,3.333,90,0,6.667,0,0,
MEAGAN,143,0,100,0,0,0,0,
MEAGHAN,59,0,100,0,0,0,0,
MEENA,55,0,21.818,0,76.364,0,1.818,
MEERA,33,0,21.212,0,78.788,0,0,
MEG,55,0,98.182,0,1.818,0,0,
MEGAN,2296,0.74,98.301,0.479,0.436,0,0.044,
MEGGAN,29,0,100,0,0,0,0,
MEGHAN,565,1.239,98.407,0,0.354,0,0,
MEGHANN,31,0,100,0,0,0,0,
MEHDI,75,2.667,76,0,21.333,0,0,
MEHMET,39,0,87.179,0,10.256,0,2.564,
MEHRAN,33,3.03,87.879,0,9.091,0,0,
MEHRDAD,46,0,89.13,0,10.87,0,0,
MEHUL,35,0,28.571,0,71.429,0,0,
MEI,188,1.064,3.723,0,94.681,0,0.532,
MEL,61,3.279,91.803,0,3.279,0,1.639,
MELANIE,2168,2.306,92.343,2.814,2.26,0.185,0.092,
MELBA,116,18.103,52.586,13.793,14.655,0,0.862,
MELCHOR,30,63.333,3.333,0,33.333,0,0,
MELINA,49,18.367,69.388,2.041,8.163,2.041,0,
MELINDA,1572,3.562,92.112,1.718,2.036,0.318,0.254,
MELISA,137,8.029,89.051,0.73,2.19,0,0,
MELISSA,7205,3.664,93.532,1.457,1.083,0.167,0.097,
MELLISA,25,0,100,0,0,0,0,
MELODIE,86,0,90.698,5.814,3.488,0,0,
MELODY,634,2.997,89.748,2.997,3.785,0.473,0,
MELONIE,37,0,83.784,10.811,0,5.405,0,
MELVA,63,15.873,49.206,33.333,1.587,0,0,
MELVIN,997,5.316,66.6,22.768,4.313,0.602,0.401,
MELVYN,46,4.348,76.087,4.348,13.043,0,2.174,
MENG,35,0,0,0,100,0,0,
MERCEDES,281,63.701,24.911,4.27,7.117,0,0,
MERCY,55,29.091,18.182,16.364,34.545,1.818,0,
MEREDITH,767,0.391,97.262,1.565,0.652,0.13,0,
MERI,41,0,95.122,0,2.439,0,2.439,
MERIDETH,23,0,100,0,0,0,0,
MERIDITH,32,3.125,96.875,0,0,0,0,
MERLE,188,1.064,90.957,3.723,4.255,0,0,
MERLIN,80,6.25,86.25,5,2.5,0,0,
